Provincia,Partido,Localidad,Link Indec,Otros,"0,256 mbps","0,375 mbps","0,5 mbps","0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,"1,25 mbps","1,5 mbps",2 mbps,"2,2 mbps","2,5 mbps",3 mbps,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",5 mbps,6 mbps,"6,4 mbps",7 mbps,"7,5 mbps",8 mbps,9 mbps,10 mbps,11 mbps,12 mbps,13 mbps,14 mbps,15 mbps,16 mbps,17 mbps,18 mbps,19 mbps,20 mbps,21 mbps,22 mbps,23 mbps,24 mbps,25 mbps,"25,1 mbps","25,11 mbps","25,5 mbps",26 mbps,30 mbps,31 mbps,32 mbps,34 mbps,35 mbps,36 mbps,38 mbps,39 mbps,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,55 mbps,58 mbps,59 mbps,60 mbps,61 mbps,62 mbps,64 mbps,65 mbps,66 mbps,70 mbps,75 mbps,78 mbps,80 mbps,82 mbps,83 mbps,85 mbps,90 mbps,92 mbps,95 mbps,100 mbps
BUENOS AIRES,Adolfo Alsina,Maza,6007070,10,0.0,0.0,2,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,386,0,0.0,0,0.0,0,0,6,0.0,0,0.0,0.0,0,0,0.0,0,0.0,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,"1,155",0.0,0,0.0,0.0,0,0,0.0,0,0.0,23,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,0,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0.0,0,0.0,147,0,0.0,0,0,0.0,0,0.0,447,0,122,0.0,1,0.0,0.0,"1,045",0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,661,0.0,0,0,0.0,0,0.0,28,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,45,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,12,0.0,0,2,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,0,0.0,0.0,0,0.0,0.0,2,0,0.0,0,4,0.0,0.0,0,0.0,40,0,0.0,7,0,0.0,0,0.0,116,0,10,0.0,0,0.0,0.0,302,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BUENOS AIRES,Alberti,Mechita,6021030,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,275,0.0,0,0,0.0,10,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0,1.0,0.0,10,1.0,0.0,34,24,0.0,0,8,0.0,0.0,2,0.0,63,7,0.0,4,14,0.0,0,0.0,37,0,405,0.0,30,0.0,0.0,135,0,0.0,126,0.0,7,0.0,0.0,0.0,0,209,0.0,0.0,0.0,0.0,"11,557",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,"2,602",0.0,0.0,0.0,824,0.0,0.0,0.0,0.0,0.0,0,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,360"
BUENOS AIRES,Almirante Brown,Burzaco,6028010,50,1.0,0.0,9,1.0,0.0,23,29,0.0,0,77,0.0,0.0,17,0.0,34,115,0.0,15,88,0.0,0,0.0,30,0,"1,146",0.0,8,0.0,0.0,60,0,0.0,25,0.0,3,0.0,0.0,0.0,0,167,0.0,0.0,0.0,0.0,"11,397",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,"1,612",0.0,0.0,0.0,"3,708",0.0,0.0,0.0,0.0,0.0,0,885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5,258"
